Account Number,Account Name,Account Type,Suggested Report Line,Report Section
"2-40410","LADIES' WEAR","Income","MERCHANDISE","COURSE_REVENUES"
"2-40415","PRO BALLS","Income","MERCHANDISE","COURSE_REVENUES"
"2-40420","GLOVES","Income","MERCHANDISE","COURSE_REVENUES"
"2-40425","CLUBS","Income","MERCHANDISE","COURSE_REVENUES"
"2-40430","MISCELLANEOUS MERCHANDISE","Income","MERCHANDISE","COURSE_REVENUES"
"2-40435","CLUB REPAIRS","Income","MERCHANDISE","COURSE_REVENUES"
"2-40440","HEADWEAR","Income","MERCHANDISE","COURSE_REVENUES"
"2-50400","COST OF SHOES","Cost of Goods Sold","MERCHANDISE","MERCHANDISE"
"2-50405","COST OF MEN'S WEAR","Cost of Goods Sold","MERCHANDISE","MERCHANDISE"
"2-50410","COST OF LADIES' WEAR","Cost of Goods Sold","MERCHANDISE","MERCHANDISE"
"2-50415","COST OF PRO BALLS","Cost of Goods Sold","MERCHANDISE","MERCHANDISE"
"2-50420","COST OF GLOVES","Cost of Goods Sold","MERCHANDISE","MERCHANDISE"
"2-50425","COST OF CLUBS","Cost of Goods Sold","MERCHANDISE","MERCHANDISE"
"2-50430","COST OF MISC MERCHANDISE","Cost of Goods Sold","MERCHANDISE","MERCHANDISE"
"2-50435","COST OF CLUB REPAIRS","Cost of Goods Sold","MERCHANDISE","MERCHANDISE"
"2-50440","COST OF HEADWEAR","Cost of Goods Sold","MERCHANDISE","MERCHANDISE"
"3-17050","FOOD & BEV-CAPITAL IMPRVMNT","Fixed Asset","FOOD","UNKNOWN"
"3-41500","GRILL FOOD","Income","FOOD","COURSE_REVENUES"
"3-42500","OUTING FOOD","Income","FOOD","COURSE_REVENUES"
"3-43500","BANQUET FOOD","Income","FOOD","COURSE_REVENUES"
"3-44500","CONCESSION/POOL FOOD","Income","FOOD","COURSE_REVENUES"
"3-45500","BEVERAGE CART FOOD","Income","FOOD","COURSE_REVENUES"
"3-51100","GRILL COST OF FOOD","Cost of Goods Sold","FOOD","MERCHANDISE"
"3-60060","WAGES - MANAGER","Expense","FOOD","EXPENSES"
"3-60065","WAGES - ASSISTANT MANAGER","Expense","FOOD","EXPENSES"
"3-60070","WAGES - KITCHEN MANAGER","Expense","FOOD","EXPENSES"
"3-60075","WAGES - CHEFS","Expense","FOOD","EXPENSES"
"3-60080","WAGES - COOKS","Expense","FOOD","EXPENSES"
"3-60085","WAGES - BARTENDER","Expense","FOOD","EXPENSES"
"3-60090","WAGES - SERVER","Expense","FOOD","EXPENSES"
"3-60095","WAGES - DISHWASHER","Expense","FOOD","EXPENSES"
"3-60100","WAGES - GRILL ROOM","Expense","FOOD","EXPENSES"
"3-60105","WAGES - CONCESSION/UTILITY","Expense","FOOD","EXPENSES"
"3-60110","WAGES - HOST/HOSTESS","Expense","FOOD","EXPENSES"
"3-60115","WAGES - BEVERAGE CART","Expense","FOOD","EXPENSES"
"3-60120","WAGES - BEVERAGE DEPARTMENT","Expense","FOOD","EXPENSES"
"3-60300","CONTRACT LABOR - F&B","Expense","FOOD","EXPENSES"
"3-60350","BONUSES - F&B","Expense","FOOD","EXPENSES"
"3-60450","PAYROLL TAXES","Expense","FOOD","EXPENSES"
"3-60500","EMPLOYEE INSURANCE","Expense","FOOD","EXPENSES"
"3-70010","ADVERTISING","Expense","FOOD","EXPENSES"
"3-70080","BANK CHARGES","Expense","FOOD","EXPENSES"
"3-70100","BEVERAGE CART LEASE","Expense","FOOD","EXPENSES"
"3-70160","CHINA, GLASS & SILVER","Expense","FOOD","EXPENSES"
"3-70170","CLEANING SUPPLIES - F&B","Expense","FOOD","EXPENSES"
"3-70240","CREDIT CARD FEES","Expense","FOOD","EXPENSES"
"3-70250","DECORATIONS","Expense","FOOD","EXPENSES"
"3-70270","DUES & SUBSCRIPTIONS - F&B","Expense","FOOD","EXPENSES"
"3-70290","ELECTRICITY - F&B","Expense","FOOD","EXPENSES"
"3-70360","EQUIPMENT RENTAL - F&B","Expense","FOOD","EXPENSES"
"3-70390","FICA - F&B","Expense","FOOD","EXPENSES"
"3-70420","FUTA - F&B","Expense","FOOD","EXPENSES"
"3-70430","GAS / OIL / PROPANE - F&B","Expense","FOOD","EXPENSES"
"3-70490","ICE","Expense","FOOD","EXPENSES"
"3-70500","INSURANCE","Expense","FOOD","EXPENSES"
"3-70540","JANITORIAL & PEST CONTROL - F&B","Expense","FOOD","EXPENSES"
"3-70560","LAND / BUILDING RENTAL - F&B","Expense","FOOD","EXPENSES"
"3-70580","LAUNDRY & DRY CLEANING","Expense","FOOD","EXPENSES"
"3-70600","LICENSE / TAXES / PERMITS - F&B","Expense","FOOD","EXPENSES"
"3-70610","LINEN","Expense","FOOD","EXPENSES"
"3-70620","LOSS & DAMAGE","Expense","FOOD","EXPENSES"
"3-70650","MENUS / PRINTING","Expense","FOOD","EXPENSES"
"3-70680","MEALS & ENTERTAINMENT","Expense","FOOD","EXPENSES"
"3-70685","MUSIC & ENTERTAINMENT","Expense","FOOD","EXPENSES"
"3-70700","OFFICE EXPENSES","Expense","FOOD","EXPENSES"
"3-70730","PAYROLL PROCESSING","Expense","FOOD","EXPENSES"
"3-70800","PRINTING & DUPLICATION","Expense","FOOD","EXPENSES"
"3-70805","PROFESSIONAL FEES","Expense","FOOD","EXPENSES"
"3-70810","PROMOTIONS","Expense","FOOD","EXPENSES"
"3-70860","REPAIRS & MAINTENANCE","Expense","FOOD","EXPENSES"
"3-70910","SEMINARS - F&B","Expense","FOOD","EXPENSES"
"3-70945","SMALL EQUIPMENT - F&B","Expense","FOOD","EXPENSES"
"3-70960","SPOILAGE","Expense","FOOD","EXPENSES"
"3-70970","SUI-F&B","Expense","FOOD","EXPENSES"
"3-70975","SUPPLIES - F&B","Expense","FOOD","EXPENSES"
"3-70980","TAXES","Expense","FOOD","EXPENSES"
"3-71000","TELEPHONE","Expense","FOOD","EXPENSES"
"3-71060","TRAVEL - F&B","Expense","FOOD","EXPENSES"
"3-71070","UNIFORMS - F&B","Expense","FOOD","EXPENSES"
"3-45500","BEVERAGE CART FOOD","Income","BEVERAGE","COURSE_REVENUES"
"3-45505","BEVERAGE CART LIQUOR","Income","BEVERAGE","COURSE_REVENUES"
"3-45510","BEVERAGE CART BEER","Income","BEVERAGE","COURSE_REVENUES"
"3-45515","BEVERAGE CART WINE","Income","BEVERAGE","COURSE_REVENUES"
"3-60060","WAGES - MANAGER","Expense","BEVERAGE","EXPENSES"
"3-60065","WAGES - ASSISTANT MANAGER","Expense","BEVERAGE","EXPENSES"
"3-60070","WAGES - KITCHEN MANAGER","Expense","BEVERAGE","EXPENSES"
"3-60075","WAGES - CHEFS","Expense","BEVERAGE","EXPENSES"
"3-60080","WAGES - COOKS","Expense","BEVERAGE","EXPENSES"
"3-60085","WAGES - BARTENDER","Expense","BEVERAGE","EXPENSES"
"3-60090","WAGES - SERVER","Expense","BEVERAGE","EXPENSES"
"3-60095","WAGES - DISHWASHER","Expense","BEVERAGE","EXPENSES"
"3-60100","WAGES - GRILL ROOM","Expense","BEVERAGE","EXPENSES"
"3-60105","WAGES - CONCESSION/UTILITY","Expense","BEVERAGE","EXPENSES"
"3-60110","WAGES - HOST/HOSTESS","Expense","BEVERAGE","EXPENSES"
"3-60115","WAGES - BEVERAGE CART","Expense","BEVERAGE","EXPENSES"
"3-60120","WAGES - BEVERAGE DEPARTMENT","Expense","BEVERAGE","EXPENSES"
"3-60300","CONTRACT LABOR - F&B","Expense","BEVERAGE","EXPENSES"
"3-60350","BONUSES - F&B","Expense","BEVERAGE","EXPENSES"
"3-60450","PAYROLL TAXES","Expense","BEVERAGE","EXPENSES"
"3-60500","EMPLOYEE INSURANCE","Expense","BEVERAGE","EXPENSES"
"3-70010","ADVERTISING","Expense","BEVERAGE","EXPENSES"
"3-70080","BANK CHARGES","Expense","BEVERAGE","EXPENSES"
"3-70100","BEVERAGE CART LEASE","Expense","BEVERAGE","EXPENSES"
"3-70160","CHINA, GLASS & SILVER","Expense","BEVERAGE","EXPENSES"
"3-70170","CLEANING SUPPLIES - F&B","Expense","BEVERAGE","EXPENSES"
"3-70240","CREDIT CARD FEES","Expense","BEVERAGE","EXPENSES"
"3-70250","DECORATIONS","Expense","BEVERAGE","EXPENSES"
"3-70270","DUES & SUBSCRIPTIONS - F&B","Expense","BEVERAGE","EXPENSES"
"3-70290","ELECTRICITY - F&B","Expense","BEVERAGE","EXPENSES"
"3-70360","EQUIPMENT RENTAL - F&B","Expense","BEVERAGE","EXPENSES"
"3-70390","FICA - F&B","Expense","BEVERAGE","EXPENSES"
"3-70420","FUTA - F&B","Expense","BEVERAGE","EXPENSES"
"3-70430","GAS / OIL / PROPANE - F&B","Expense","BEVERAGE","EXPENSES"
"3-70490","ICE","Expense","BEVERAGE","EXPENSES"
"3-70500","INSURANCE","Expense","BEVERAGE","EXPENSES"
"3-70540","JANITORIAL & PEST CONTROL - F&B","Expense","BEVERAGE","EXPENSES"
"3-70560","LAND / BUILDING RENTAL - F&B","Expense","BEVERAGE","EXPENSES"
"3-70580","LAUNDRY & DRY CLEANING","Expense","BEVERAGE","EXPENSES"
"3-70600","LICENSE / TAXES / PERMITS - F&B","Expense","BEVERAGE","EXPENSES"
"3-70610","LINEN","Expense","BEVERAGE","EXPENSES"
"3-70620","LOSS & DAMAGE","Expense","BEVERAGE","EXPENSES"
"3-70650","MENUS / PRINTING","Expense","BEVERAGE","EXPENSES"
"3-70680","MEALS & ENTERTAINMENT","Expense","BEVERAGE","EXPENSES"
"3-70685","MUSIC & ENTERTAINMENT","Expense","BEVERAGE","EXPENSES"
"3-70700","OFFICE EXPENSES","Expense","BEVERAGE","EXPENSES"
"3-70730","PAYROLL PROCESSING","Expense","BEVERAGE","EXPENSES"
"3-70800","PRINTING & DUPLICATION","Expense","BEVERAGE","EXPENSES"
"3-70805","PROFESSIONAL FEES","Expense","BEVERAGE","EXPENSES"
"3-70810","PROMOTIONS","Expense","BEVERAGE","EXPENSES"
"3-70860","REPAIRS & MAINTENANCE","Expense","BEVERAGE","EXPENSES"
"3-70910","SEMINARS - F&B","Expense","BEVERAGE","EXPENSES"
"3-70945","SMALL EQUIPMENT - F&B","Expense","BEVERAGE","EXPENSES"
"3-70960","SPOILAGE","Expense","BEVERAGE","EXPENSES"
"3-70970","SUI-F&B","Expense","BEVERAGE","EXPENSES"
"3-70975","SUPPLIES - F&B","Expense","BEVERAGE","EXPENSES"
"3-70980","TAXES","Expense","BEVERAGE","EXPENSES"
"3-71000","TELEPHONE","Expense","BEVERAGE","EXPENSES"
"3-71060","TRAVEL - F&B","Expense","BEVERAGE","EXPENSES"
"3-71070","UNIFORMS - F&B","Expense","BEVERAGE","EXPENSES"
"1-60005","WAGES - GOLF SHOP","Expense","LABOR","EXPENSES"
"1-60010","WAGES - GOLF CARS","Expense","LABOR","EXPENSES"
"1-60015","WAGES - PROFESSIONAL #3","Expense","LABOR","EXPENSES"
"1-60020","WAGES - ASSISTANT PRO","Expense","LABOR","EXPENSES"
"1-60025","WAGES - CLERKS","Expense","LABOR","EXPENSES"
"1-60030","WAGES - CARTS","Expense","LABOR","EXPENSES"
"1-60035","WAGES - STARTER/MARSHALL","Expense","LABOR","EXPENSES"
"1-60040","WAGES - PRO SHOP","Expense","LABOR","EXPENSES"
"1-60300","CONTRACT LABOR - PRO SHOP","Expense","LABOR","EXPENSES"
"1-60350","BONUSES - PRO SHOP","Expense","LABOR","EXPENSES"
"1-60450","PAYROLL TAXES","Expense","LABOR","EXPENSES"
"1-60500","EMPLOYEE INSURANCE","Expense","LABOR","EXPENSES"
"2-60300","CONTRACT LABOR","Expense","LABOR","EXPENSES"
"2-60350","BONUSES","Expense","LABOR","EXPENSES"
"2-60450","PAYROLL TAXES","Expense","LABOR","EXPENSES"
"2-60500","EMPLOYEE INSURANCE","Expense","LABOR","EXPENSES"
"3-60060","WAGES - MANAGER","Expense","LABOR","EXPENSES"
"3-60065","WAGES - ASSISTANT MANAGER","Expense","LABOR","EXPENSES"
"3-60070","WAGES - KITCHEN MANAGER","Expense","LABOR","EXPENSES"
"3-60075","WAGES - CHEFS","Expense","LABOR","EXPENSES"
"3-60080","WAGES - COOKS","Expense","LABOR","EXPENSES"
"3-60085","WAGES - BARTENDER","Expense","LABOR","EXPENSES"
"3-60090","WAGES - SERVER","Expense","LABOR","EXPENSES"
"3-60095","WAGES - DISHWASHER","Expense","LABOR","EXPENSES"
"3-60100","WAGES - GRILL ROOM","Expense","LABOR","EXPENSES"
"3-60105","WAGES - CONCESSION/UTILITY","Expense","LABOR","EXPENSES"
"3-60110","WAGES - HOST/HOSTESS","Expense","LABOR","EXPENSES"
"3-60115","WAGES - BEVERAGE CART","Expense","LABOR","EXPENSES"
"3-60120","WAGES - BEVERAGE DEPARTMENT","Expense","LABOR","EXPENSES"
"3-60300","CONTRACT LABOR - F&B","Expense","LABOR","EXPENSES"
"3-60350","BONUSES - F&B","Expense","LABOR","EXPENSES"
"3-60450","PAYROLL TAXES","Expense","LABOR","EXPENSES"
"3-60500","EMPLOYEE INSURANCE","Expense","LABOR","EXPENSES"
"4-60150","WAGES - COURSE MAINTENANCE","Expense","LABOR","EXPENSES"
"4-60155","WAGES - ASST SUPERINTENDENT","Expense","LABOR","EXPENSES"
"4-60160","WAGES - CLUB MECHANIC","Expense","LABOR","EXPENSES"
"4-60165","WAGES - MECHANIC'S ASSISTANT","Expense","LABOR","EXPENSES"
"4-60170","WAGES - EQUIPMENT LABORERS","Expense","LABOR","EXPENSES"
"4-60175","WAGES - FOREMAN","Expense","LABOR","EXPENSES"
"4-60180","WAGES - SPRAY TECH","Expense","LABOR","EXPENSES"
"4-60300","CONTRACT LABOR - MAINT","Expense","LABOR","EXPENSES"
"4-60350","BONUSES - MAINT","Expense","LABOR","EXPENSES"
"4-60450","PAYROLL TAXES","Expense","LABOR","EXPENSES"
"4-60500","EMPLOYEE INSURANCE","Expense","LABOR","EXPENSES"
"5-60190","WAGES - POOL","Expense","LABOR","EXPENSES"
"5-60450","PAYROLL TAXES","Expense","LABOR","EXPENSES"
"5-60500","EMPLOYEE INSURANCE","Expense","LABOR","EXPENSES"
"6-60200","WAGES - TENNIS","Expense","LABOR","EXPENSES"
"6-60450","PAYROLL TAXES","Expense","LABOR","EXPENSES"
"6-60500","EMPLOYEE INSURANCE","Expense","LABOR","EXPENSES"
"7-60210","WAGES-BUILDING MAINTENANCE","Expense","LABOR","EXPENSES"
"7-60215","WAGES-CLEANING","Expense","LABOR","EXPENSES"
"7-60350","BONUSES","Expense","LABOR","EXPENSES"
"7-60450","PAYROLL TAXES","Expense","LABOR","EXPENSES"
"7-60500","EMPLOYEE INSURANCE","Expense","LABOR","EXPENSES"
"8-60220","BANQUET DIRECTOR SALES","Expense","LABOR","EXPENSES"
"8-60225","MEMBERSHIP DIRECTOR SALES","Expense","LABOR","EXPENSES"
"8-60230","TOURNAMENT DIRECTOR SALES","Expense","LABOR","EXPENSES"
"8-60300","CONTRACT LABOR - MKTG","Expense","LABOR","EXPENSES"
"8-60350","BONUSES - MKTG","Expense","LABOR","EXPENSES"
"8-60450","PAYROLL TAXES","Expense","LABOR","EXPENSES"
"8-60500","EMPLOYEE INSURANCE","Expense","LABOR","EXPENSES"
"9-60240","WAGES - GENERAL MANAGER","Expense","LABOR","EXPENSES"
"9-60245","WAGES - ASST MANAGER","Expense","LABOR","EXPENSES"
"9-60250","WAGES - BOOKKEEPER","Expense","LABOR","EXPENSES"
"9-60255","WAGES - ADMIN ASST","Expense","LABOR","EXPENSES"
"9-60260","WAGES - SALES","Expense","LABOR","EXPENSES"
"9-60265","WAGES - ADMINISTRATIVE","Expense","LABOR","EXPENSES"
"9-60300","CONTRACT LABOR - ADMIN","Expense","LABOR","EXPENSES"
"9-60350","BONUSES - ADMIN","Expense","LABOR","EXPENSES"
"9-60450","PAYROLL TAXES","Expense","LABOR","EXPENSES"
"9-60500","EMPLOYEE INSURANCE","Expense","LABOR","EXPENSES"
"0-21015","ACCRUED PAYROLL","Other Current Liability","PAYROLL","UNKNOWN"
"1-60450","PAYROLL TAXES","Expense","PAYROLL","EXPENSES"
"2-60450","PAYROLL TAXES","Expense","PAYROLL","EXPENSES"
"3-60450","PAYROLL TAXES","Expense","PAYROLL","EXPENSES"
"3-70730","PAYROLL PROCESSING","Expense","PAYROLL","EXPENSES"
"4-60450","PAYROLL TAXES","Expense","PAYROLL","EXPENSES"
"5-60450","PAYROLL TAXES","Expense","PAYROLL","EXPENSES"
"6-60450","PAYROLL TAXES","Expense","PAYROLL","EXPENSES"
"7-60450","PAYROLL TAXES","Expense","PAYROLL","EXPENSES"
"8-60450","PAYROLL TAXES","Expense","PAYROLL","EXPENSES"
"9-60450","PAYROLL TAXES","Expense","PAYROLL","EXPENSES"
"9-70730","PAYROLL PROCESSING","Expense","PAYROLL","EXPENSES"
"1-60005","WAGES - GOLF SHOP","Expense","WAGE","EXPENSES"
"1-60010","WAGES - GOLF CARS","Expense","WAGE","EXPENSES"
"1-60015","WAGES - PROFESSIONAL #3","Expense","WAGE","EXPENSES"
"1-60020","WAGES - ASSISTANT PRO","Expense","WAGE","EXPENSES"
"1-60025","WAGES - CLERKS","Expense","WAGE","EXPENSES"
"1-60030","WAGES - CARTS","Expense","WAGE","EXPENSES"
"1-60035","WAGES - STARTER/MARSHALL","Expense","WAGE","EXPENSES"
"1-60040","WAGES - PRO SHOP","Expense","WAGE","EXPENSES"
"2-60060","WAGES - FITNESS","Expense","WAGE","EXPENSES"
"3-60060","WAGES - MANAGER","Expense","WAGE","EXPENSES"
"3-60065","WAGES - ASSISTANT MANAGER","Expense","WAGE","EXPENSES"
"3-60070","WAGES - KITCHEN MANAGER","Expense","WAGE","EXPENSES"
"3-60075","WAGES - CHEFS","Expense","WAGE","EXPENSES"
"3-60080","WAGES - COOKS","Expense","WAGE","EXPENSES"
"3-60085","WAGES - BARTENDER","Expense","WAGE","EXPENSES"
"3-60090","WAGES - SERVER","Expense","WAGE","EXPENSES"
"3-60095","WAGES - DISHWASHER","Expense","WAGE","EXPENSES"
"3-60100","WAGES - GRILL ROOM","Expense","WAGE","EXPENSES"
"3-60105","WAGES - CONCESSION/UTILITY","Expense","WAGE","EXPENSES"
"3-60110","WAGES - HOST/HOSTESS","Expense","WAGE","EXPENSES"
"3-60115","WAGES - BEVERAGE CART","Expense","WAGE","EXPENSES"
"3-60120","WAGES - BEVERAGE DEPARTMENT","Expense","WAGE","EXPENSES"
"4-60150","WAGES - COURSE MAINTENANCE","Expense","WAGE","EXPENSES"
"4-60155","WAGES - ASST SUPERINTENDENT","Expense","WAGE","EXPENSES"
"4-60160","WAGES - CLUB MECHANIC","Expense","WAGE","EXPENSES"
"4-60165","WAGES - MECHANIC'S ASSISTANT","Expense","WAGE","EXPENSES"
"4-60170","WAGES - EQUIPMENT LABORERS","Expense","WAGE","EXPENSES"
"4-60175","WAGES - FOREMAN","Expense","WAGE","EXPENSES"
"4-60180","WAGES - SPRAY TECH","Expense","WAGE","EXPENSES"
"5-60190","WAGES - POOL","Expense","WAGE","EXPENSES"
"6-60200","WAGES - TENNIS","Expense","WAGE","EXPENSES"
"7-60210","WAGES-BUILDING MAINTENANCE","Expense","WAGE","EXPENSES"
"7-60215","WAGES-CLEANING","Expense","WAGE","EXPENSES"
"9-60240","WAGES - GENERAL MANAGER","Expense","WAGE","EXPENSES"
"9-60245","WAGES - ASST MANAGER","Expense","WAGE","EXPENSES"
"9-60250","WAGES - BOOKKEEPER","Expense","WAGE","EXPENSES"
"9-60255","WAGES - ADMIN ASST","Expense","WAGE","EXPENSES"
"9-60260","WAGES - SALES","Expense","WAGE","EXPENSES"
"9-60265","WAGES - ADMINISTRATIVE","Expense","WAGE","EXPENSES"
"1-40400","POA MAINTENANCE INCOME","Income","MAINTENANCE","COURSE_REVENUES"
"1-70860","REPAIRS & MAINTENANCE - PS","Expense","MAINTENANCE","EXPENSES"
"2-70190","COMPUTER MAINTENANCE / LEASE","Expense","MAINTENANCE","EXPENSES"
"2-70860","REPAIRS & MAINTENANCE","Expense","MAINTENANCE","EXPENSES"
"3-70860","REPAIRS & MAINTENANCE","Expense","MAINTENANCE","EXPENSES"
"4-17050","MAINTENANCE LAND-CAP IMPRVMNT","Fixed Asset","MAINTENANCE","UNKNOWN"
"4-60150","WAGES - COURSE MAINTENANCE","Expense","MAINTENANCE","EXPENSES"
"4-60155","WAGES - ASST SUPERINTENDENT","Expense","MAINTENANCE","EXPENSES"
"4-60160","WAGES - CLUB MECHANIC","Expense","MAINTENANCE","EXPENSES"
"4-60165","WAGES - MECHANIC'S ASSISTANT","Expense","MAINTENANCE","EXPENSES"
"4-60170","WAGES - EQUIPMENT LABORERS","Expense","MAINTENANCE","EXPENSES"
"4-60175","WAGES - FOREMAN","Expense","MAINTENANCE","EXPENSES"
"4-60180","WAGES - SPRAY TECH","Expense","MAINTENANCE","EXPENSES"
"4-60300","CONTRACT LABOR - MAINT","Expense","MAINTENANCE","EXPENSES"
"4-60350","BONUSES - MAINT","Expense","MAINTENANCE","EXPENSES"
"4-60450","PAYROLL TAXES","Expense","MAINTENANCE","EXPENSES"
"4-60500","EMPLOYEE INSURANCE","Expense","MAINTENANCE","EXPENSES"
"4-70860","REPAIRS & MAINTENANCE - BUILDING","Expense","MAINTENANCE","EXPENSES"
"4-70862","REPAIRS & MAINTENANCE - CART PATH","Expense","MAINTENANCE","EXPENSES"
"4-70864","REPAIRS & MAINTENANCE - EQUIPMENT","Expense","MAINTENANCE","EXPENSES"
"4-70866","REPAIRS & MAINTENANCE - IRRIGATION","Expense","MAINTENANCE","EXPENSES"
"5-70860","REPAIR & MAINTENANCE - PH&O","Expense","MAINTENANCE","EXPENSES"
"6-70860","REPAIRS & MAINTENANCE","Expense","MAINTENANCE","EXPENSES"
"7-60210","WAGES-BUILDING MAINTENANCE","Expense","MAINTENANCE","EXPENSES"
"7-60215","WAGES-CLEANING","Expense","MAINTENANCE","EXPENSES"
"7-60350","BONUSES","Expense","MAINTENANCE","EXPENSES"
"7-60450","PAYROLL TAXES","Expense","MAINTENANCE","EXPENSES"
"7-60500","EMPLOYEE INSURANCE","Expense","MAINTENANCE","EXPENSES"
"7-70170","CLEANING SUPPLIES","Expense","MAINTENANCE","EXPENSES"
"7-70290","ELECTRICITY","Expense","MAINTENANCE","EXPENSES"
"7-70440","GAS / OIL / PROPANE","Expense","MAINTENANCE","EXPENSES"
"7-70600","LICENSES, TAXES & PERMITS","Expense","MAINTENANCE","EXPENSES"
"7-70610","LINEN","Expense","MAINTENANCE","EXPENSES"
"7-70860","REPAIR & MAINTENANCE","Expense","MAINTENANCE","EXPENSES"
"7-70910","SEMINARS","Expense","MAINTENANCE","EXPENSES"
"7-70975","SUPPLIES","Expense","MAINTENANCE","EXPENSES"
"7-71000","TELEPHONE","Expense","MAINTENANCE","EXPENSES"
"7-71010","TOOLS","Expense","MAINTENANCE","EXPENSES"
"7-71050","TRASH & WASTE REMOVAL","Expense","MAINTENANCE","EXPENSES"
"7-71070","UNIFORMS","Expense","MAINTENANCE","EXPENSES"
"7-71080","WATER / SEWER","Expense","MAINTENANCE","EXPENSES"
"9-70190","COMPUTER MAINTENANCE/LEASE","Expense","MAINTENANCE","EXPENSES"
"9-70860","REPAIR & MAINTENANCE - ADMIN","Expense","MAINTENANCE","EXPENSES"
"8-60220","BANQUET DIRECTOR SALES","Expense","MARKETING","EXPENSES"
"8-60225","MEMBERSHIP DIRECTOR SALES","Expense","MARKETING","EXPENSES"
"8-60230","TOURNAMENT DIRECTOR SALES","Expense","MARKETING","EXPENSES"
"8-60300","CONTRACT LABOR - MKTG","Expense","MARKETING","EXPENSES"
"8-60350","BONUSES - MKTG","Expense","MARKETING","EXPENSES"
"8-60450","PAYROLL TAXES","Expense","MARKETING","EXPENSES"
"8-60500","EMPLOYEE INSURANCE","Expense","MARKETING","EXPENSES"
"8-70010","ADVERTISING - MKTG","Expense","MARKETING","EXPENSES"
"8-70185","COMMISSIONS - MKTG","Expense","MARKETING","EXPENSES"
"8-70250","DECORATIONS","Expense","MARKETING","EXPENSES"
"8-70260","DIRECT MAIL","Expense","MARKETING","EXPENSES"
"8-70270","DUES & SUBSCRIPTIONS","Expense","MARKETING","EXPENSES"
"8-70320","ELECTRONIC TEE TIME SOFTWARE","Expense","MARKETING","EXPENSES"
